rank,score,incident_id,title,technical_risk,ethical_risk,legal_risk,societal_risk,risk_tier,recommendation,high_keywords
1,19.0,169,Why Facebook is losing the war on hate speech in Myanmar,5,5,4,5,UNACCEPTABLE,REJECT,refugee; who; united nations; displaced
2,18.5,101,How a Discriminatory Algorithm Wrongly Accused Thousands of Families of Fraud,4,5,3,3,UNACCEPTABLE,REJECT,who; nationality
3,17,39,'Deep fakes': How to know what's true in the fake-Obama video era,3,4,4,3,HIGH,REVIEW,who; iom; biometric; fingerprint; geopolitical
4,16.5,32,Distinguishing Identical Twins,2,1,4,2,HIGH,REVIEW,iom; biometric; fingerprint; facial image
5,16.5,74,Facial Recognition Blamed For False Arrest And Jail Time,2,4,4,3,HIGH,REVIEW,who; personal data; racial bias
6,16,26,iPhone X Face ID hack uses olives and paper eyes,1,1,4,1,HIGH,REVIEW,who; iom; biometric; iris scan; fingerprint
7,16.0,26,Face ID hasn't been hacked: What you need to know,2,1,4,1,HIGH,REVIEW,who; iom; biometric; biometric data; fingerprint
8,16.0,32,Apple: don't use Face ID on an iPhone X if you're under 13 or have a twin,1,5,4,1,UNACCEPTABLE,REJECT,who; iom; biometric; fingerprint
9,15.5,32,"iPhone X's Face ID: How does it handle beards, makeup, wrinkles? Apple explains",1,1,4,1,HIGH,REVIEW,who; iom; biometric; fingerprint; facial image
10,15.5,54,IBM Used NYPD Surveillance Footage to Develop Technology that Lets Police Search by Skin Color,2,4,4,3,HIGH,REVIEW,who; facial image
11,14.5,103,Twitter's Photo Crop Algorithm Favors White Faces and Women,1,4,3,3,HIGH,REVIEW,who; racial bias
12,14.5,116,Amazon’s AI Cameras Are Punishing Drivers for Mistakes They Didn’t Make,3,1,4,3,HIGH,REVIEW,who; iom; biometric; biometric data
13,14.5,172,The Pain Was Unbearable. So Why Did Doctors Turn Her Away?,4,5,4,3,UNACCEPTABLE,REJECT,who
14,14,26,We Tried Really Hard To Beat Face ID—and Failed (So Far),1,1,4,2,HIGH,REVIEW,who; iom; biometric; fingerprint
15,14.0,95,Job Screening Service Halts Facial Analysis of Applicants,1,3,4,1,HIGH,REVIEW,who; iom; biometric; biometric data
16,14,122,Facebook to pay $550 million to settle privacy lawsuit over facial recognition tech,1,1,4,1,HIGH,REVIEW,who; iom; biometric; biometric data
17,13.5,36,Facial recognition system in China mistakes celebrity's face on moving billboard for jaywalker - Ase,1,1,4,3,HIGH,REVIEW,who; iom; biometric
18,13.5,163,"Facebook’s race-blind practices around hate speech came at the expense of Black users, new documents",4,4,3,3,HIGH,REVIEW,who; humanitarian
19,13,26,How safe is Apple's Face ID and can it be hacked? New iPhone X security feature explained,1,1,4,1,HIGH,REVIEW,who; iom; biometric; fingerprint
20,13,32,"Does iPhone X Facial Recognition Work On Twins? Mashable Tested It Out And, Well, Whoops",1,1,4,1,HIGH,REVIEW,who; iom; biometric; fingerprint
21,13.0,11,Can you make AI fairer than a judge? Play our courtroom algorithm game,3,5,4,3,UNACCEPTABLE,REJECT,who; racial bias
22,13.0,111,Fired by Bot at Amazon: ‘It’s You Against the Machine’,3,5,4,3,UNACCEPTABLE,REJECT,refugee; who
23,13.0,108,Black teen kicked out of skating rink after facial recognition camera misidentified her,1,4,4,1,HIGH,REVIEW,who; iom; biometric
24,13,166,This girls-only app uses AI to screen a user’s gender — what could go wrong?,1,1,4,3,HIGH,REVIEW,who; iom; biometric
25,12.5,26,Hackers develop £115 mask to fool Apple's iPhone X Face ID,1,4,4,1,HIGH,REVIEW,iom; biometric; fingerprint; racial bias
26,12.5,26,iPhone X’s Face ID supposedly got hacked. We have questions,1,5,4,1,UNACCEPTABLE,REJECT,who; iom; biometric
27,12.5,36,Facial recognition system in China mistakes bus ad for jaywalker,2,1,4,3,HIGH,REVIEW,who; iom; biometric
28,12.5,54,Police data could be labelling 'suspects' for crimes they have not committed,1,3,4,3,HIGH,REVIEW,who; iom; biometric
29,12.5,54,The Truth About Predictive Policing and Race,2,4,1,1,HIGH,REVIEW,who; racial bias
30,12.5,60,FaceApp: Experts have privacy concerns about popular face transformation app,1,4,4,1,HIGH,REVIEW,who; facial image; personal data
31,12.0,40,"AI is convicting criminals and determining jail time, but is it fair?",1,4,3,1,HIGH,REVIEW,who; racial bias
32,12,48,New Zealand passport reader accuses Asian of having 'eyes closed',1,4,4,2,HIGH,REVIEW,iom; biometric; biometric data
33,12.0,106,Chatbot Gone Awry Starts Conversations About AI Ethics in South Korea,1,4,4,3,HIGH,REVIEW,who; personal data
34,12.0,121,"Libyan Fighters Attacked by a Potentially Unaided Drone, UN Says",4,1,4,2,HIGH,REVIEW,who; united nations;  un 
35,12.0,94,Italian court rules against ‘discriminatory’ Deliveroo rider-ranking algorithm,1,3,4,3,HIGH,REVIEW,ocha; who
36,11.5,74,Wrongfully Accused by an Algorithm,3,4,4,3,HIGH,REVIEW,who; fingerprint
37,11.5,114,Amazon’s Face Recognition Falsely Matched 28 Members of Congress With Mugshots,2,5,1,3,UNACCEPTABLE,REJECT,who
38,11.5,54,"How We Determined Predictive Policing Software Disproportionately Targeted Low-Income, Black, and La",2,5,4,2,UNACCEPTABLE,REJECT,who
39,11.0,54,To predict and serve?,1,4,4,3,HIGH,REVIEW,who
40,11.0,11,How We Analyzed the COMPAS Recidivism Algorithm,3,4,4,1,HIGH,REVIEW,who; racial bias
41,11.0,143,"Facebook, Twitter Struggling in Fight against Balkan Content Violations",1,5,3,5,UNACCEPTABLE,REJECT,who; personal data
42,11.0,154,Flaws plague a tool meant to help low-risk federal prisoners win early release,2,4,1,1,HIGH,REVIEW,who; racial bias
43,11,74,How Wrongful Arrests Based on AI Derailed 3 Men's Lives,4,4,4,3,HIGH,REVIEW,who; fingerprint
44,10.5,11,"Yes, artificial intelligence can be racist",2,4,1,1,HIGH,REVIEW,who; racial bias
45,10.5,26,What is Face ID and how does Face ID work?,2,1,4,1,HIGH,REVIEW,iom; biometric; fingerprint
46,10.5,26,Hackers fool the iPhone X's Face ID using a cheesy-looking mask,5,1,4,1,UNACCEPTABLE,REJECT,who; iris scan; fingerprint
47,10.5,27,RIP Stanislav Petrov: Russian colonel who saved world from all-out nuclear war,4,1,1,2,HIGH,REVIEW,who; humanitarian; early warning system
48,10.5,36,2018 in Review: 10 AI Failures,5,4,4,1,UNACCEPTABLE,REJECT,who; facial image
49,10.5,37,2018 in Review: 10 AI Failures,5,4,4,1,UNACCEPTABLE,REJECT,who; facial image
50,10.5,53,When White Supremacists Target the Black Elderly,5,4,1,3,UNACCEPTABLE,REJECT,refugee; who
